challenge,qubits,method,bitstring,probability,status
challenge-8_11,8,statevector,01001110,0.545,success
challenge-16_12,16,statevector,1111000101101011,0.467,success
challenge-24_13,24,MPS,111110011111001011010001,0.596,success
challenge-32_14,32,MPS,00000101001101000001011111101100,0.471,success
challenge-36_15,36,MPS,110110011011111111011001011110101111,0.2,success
challenge-36_15,36,MPS,110110011001011101011000011110101111,0.001,failed
challenge-36_15,36,MPS,110110011011111111011001011110101111,0.015,success
challenge-40_16,40,MPS,0101110101001110011000111011100110010110,0.479,success
challenge-40_17,40,MPS,0010010101010111001001000010001000001001,0.559,success
challenge-40_18,40,MPS,0100000110010010001101111000111111001110,0.185,success
challenge-48_19,48,MPS,011001010111101100111110000001011101001110010000,0.704,success
challenge-48_20,48,MPS,101010100101001010000110101000001011110010000000,0.636,success
challenge-48_21,48,MPS,111010101110101011110101000001101000100000001001,0.519,success
challenge-56_22,56,MPS,11100100100110010011110010110110011000000100010111111011,0.578,success
challenge-56_23,56,MPS,01001101001111111100000101001110111011100011111100001101,0.49,success
challenge-56_24,56,MPS,10011001001111101111111011101011101101010011001011110001,0.058,success
challenge-64_25,64,MPS,0011101111110000110110111101011000010000010100110111000001111011,0.206,success
challenge-64_26,64,MPS,0110101010100011010111011000011100010110110010011100011001100110,0.071,failed
challenge-64_26,64,MPS,0110101010100011010111011000011100010110110110011100011001100110,0.0,success
challenge-36_15,36,MPS+marginal,110110011011011101011001011110101111,0.001831,pending
challenge-64_26,64,MPS+marginal,0110101010100011010111011000011100010110110110011100011001100110,0.1989,pending
