File                           Qubits  Method       Bitstring                                                                Prob
----------------------------------------------------------------------------------------------------------------------------------
challenge-8_1                       8  statevector  10101101         							   91.3%
challenge-16_2                     16  statevector  1010101011001000                                                       46.7%
challenge-24_3                     24  MPS          011110010000101010001000                                               73.2%
challenge-28_4                     28  MPS          1111111000101010110110011111                                           21.1%
challenge-32_5                     32  MPS          00111000101010100001000000010000                                        8.1%
challenge-36_6                     36  MPS          100110100111101001001101110011001000                                   68.4%
challenge-40_7                     40  MPS          0110111011010001010011111110010011000111                               88.4%
challenge-48_8                     48  MPS          000100100110111001001111111100101011001110010100                       68.8%
challenge-56_9                     56  MPS          10010110101100101110100110010110011101100110001101010100               76.9%
challenge-64_10                    64  MPS          0011010010110001110010111001100100101100010111110110010100101011       79.1%
                                                      
